Player,Team,Age,Position,G,GS,Completions,Attempts,Yards,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
Matt Ryan,ATL,35,QB,16,16,407,626,4581,5337,8.5,2934,7.2,4.7,1647,4
Tom Brady,TAM,43,QB,16,16,401,610,4633,5531,9.1,2833,7.1,4.6,1800,4.5
Ben Roethlisberger,PIT,38,QB,15,15,399,608,3803,4220,6.9,1850,4.6,3,1953,4.9
Justin Herbert,LAC,22,QB,15,15,396,595,4336,4378,7.4,2121,5.4,3.6,2215,5.6
Patrick Mahomes,KAN,25,QB,15,15,390,588,4740,4910,8.4,2473,6.3,4.2,2267,5.8
Josh Allen,BUF,24,QB,16,16,396,572,4544,4857,8.5,2692,6.8,4.7,1852,4.7
Kyler Murray,ARI,23,QB,16,16,375,558,3971,4340,7.8,2213,5.9,4,1758,4.7
Russell Wilson,SEA,32,QB,16,16,384,558,4212,4809,8.6,2385,6.2,4.3,1827,4.8
Jared Goff,LAR,26,QB,15,15,370,552,3952,3406,6.2,1800,4.9,3.3,2152,5.8
Deshaun Watson ,HOU,25,QB,16,16,382,544,4823,4840,8.9,2850,7.5,5.2,1973,5.2
Philip Rivers,IND,39,QB,16,16,369,543,4169,3893,7.2,1948,5.3,3.6,2221,6
Matthew Stafford,DET,32,QB,16,16,339,528,4084,4609,8.7,2343,6.9,4.4,1741,5.1
Aaron Rodgers,GNB,37,QB,16,16,372,526,4299,4135,7.9,2051,5.5,3.9,2248,6
Derek Carr,LVR,29,QB,16,16,348,517,4103,4184,8.1,2147,6.2,4.2,1956,5.6
Kirk Cousins,MIN,32,QB,16,16,349,516,4265,4103,8,2329,6.7,4.5,1936,5.5
Teddy Bridgewater,CAR,28,QB,15,15,340,492,3733,3511,7.1,1853,5.5,3.8,1880,5.5
Baker Mayfield,CLE,25,QB,16,16,305,486,3563,4124,8.5,2203,7.2,4.5,1360,4.5
